OrderID,UserID,OrderDate,TotalAmount
ORD1552,USR00193,2022-01-01,227.5
ORD11863,USR01459,2022-01-01,126.0
ORD11864,USR01459,2022-01-01,161.25
ORD12073,USR01484,2022-01-01,305.96000000000004
ORD14691,USR01798,2022-01-01,343.96
ORD15586,USR01906,2022-01-01,111.0
ORD17705,USR02184,2022-01-01,149.25
ORD18191,USR02242,2022-01-01,586.48
ORD21163,USR02611,2022-01-01,37.98
ORD21346,USR02632,2022-01-01,293.48
ORD24425,USR03031,2022-01-01,131.98
ORD25157,USR03125,2022-01-01,226.95999999999998
ORD26195,USR03251,2022-01-01,148.5
ORD27521,USR03416,2022-01-01,561.97
ORD28698,USR03570,2022-01-01,364.97
ORD29304,USR03646,2022-01-01,187.0
ORD29640,USR03684,2022-01-01,147.0
ORD32362,USR04026,2022-01-01,306.0
ORD37583,USR04666,2022-01-01,403.97
ORD42231,USR05243,2022-01-01,72.0
ORD44860,USR05556,2022-01-01,247.99
ORD45265,USR05615,2022-01-01,668.44
ORD45854,USR05692,2022-01-01,115.0
ORD46235,USR05737,2022-01-01,262.0
ORD50409,USR06266,2022-01-01,936.47
ORD50412,USR06266,2022-01-01,211.96
ORD51310,USR06387,2022-01-01,69.99
ORD51504,USR06410,2022-01-01,44.0
ORD51873,USR06464,2022-01-01,444.48
ORD55156,USR06873,2022-01-01,178.5
ORD55342,USR06900,2022-01-01,244.5
ORD55472,USR06914,2022-01-01,382.75
ORD55741,USR06943,2022-01-01,451.5
ORD58680,USR07303,2022-01-01,263.0
ORD59491,USR07403,2022-01-01,544.47
ORD60225,USR07492,2022-01-01,348.74
ORD62725,USR07822,2022-01-01,327.75
ORD64784,USR08084,2022-01-01,114.0
ORD64870,USR08096,2022-01-01,161.5
ORD66726,USR08319,2022-01-01,187.5
ORD70267,USR08748,2022-01-01,339.96
ORD71308,USR08882,2022-01-01,166.0
ORD71380,USR08889,2022-01-01,877.0
ORD72764,USR09063,2022-01-01,575.5
ORD75481,USR09390,2022-01-01,205.5
ORD76955,USR09569,2022-01-01,566.94
ORD80960,USR10072,2022-01-01,853.19
ORD83192,USR10363,2022-01-01,338.70000000000005
ORD83865,USR10442,2022-01-01,537.98
ORD84220,USR10485,2022-01-01,622.47
ORD85284,USR10618,2022-01-01,181.5
ORD87340,USR10891,2022-01-01,305.97
ORD87577,USR10924,2022-01-01,462.0
ORD88049,USR10982,2022-01-01,340.96
ORD89737,USR11196,2022-01-01,693.25
ORD90263,USR11269,2022-01-01,114.0
ORD91677,USR11452,2022-01-01,521.5
ORD95120,USR11870,2022-01-01,505.99
ORD96206,USR12009,2022-01-01,611.72
ORD101259,USR12641,2022-01-01,100.0
ORD101527,USR12676,2022-01-01,290.0
ORD103529,USR12929,2022-01-01,53.99
ORD104484,USR13051,2022-01-01,272.5
ORD106012,USR13242,2022-01-01,105.98
ORD107368,USR13403,2022-01-01,82.5
ORD110032,USR13743,2022-01-01,49.99
ORD112549,USR14036,2022-01-01,515.93
ORD114157,USR14242,2022-01-01,395.46
ORD115682,USR14435,2022-01-01,668.95
ORD116557,USR14545,2022-01-01,137.98
ORD118879,USR14844,2022-01-01,398.21999999999997
ORD119562,USR14933,2022-01-01,315.99
ORD527,USR00068,2022-01-02,274.0
ORD2329,USR00285,2022-01-02,422.25
ORD3227,USR00400,2022-01-02,452.75
ORD3597,USR00446,2022-01-02,30.5
ORD4358,USR00542,2022-01-02,484.97
ORD5136,USR00644,2022-01-02,249.24
ORD5443,USR00681,2022-01-02,504.24
ORD7330,USR00908,2022-01-02,467.47
ORD12379,USR01516,2022-01-02,191.98
ORD14235,USR01743,2022-01-02,500.25
ORD19495,USR02401,2022-01-02,643.46
ORD19688,USR02426,2022-01-02,368.96000000000004
ORD21153,USR02610,2022-01-02,116.25
ORD22842,USR02827,2022-01-02,92.0
ORD22927,USR02836,2022-01-02,198.0
