ProductID,Name,Description,Price,StockQuantity,ProductSubcategoryID,ModelName,ProductColor,ProductSize,SKU
1,Classic Cotton Tee,"Classic Cotton Tee in Red, Size S",58.99,7,101,ClassicCottonTee-S,Red,S,SKU-1-101-SR
2,Classic Cotton Tee,"Classic Cotton Tee in Red, Size M",99.5,30,101,ClassicCottonTee-M,Red,M,SKU-2-101-MR
3,Classic Cotton Tee,"Classic Cotton Tee in Red, Size L",20.99,54,101,ClassicCottonTee-L,Red,L,SKU-3-101-LR
4,Classic Cotton Tee,"Classic Cotton Tee in Bleu, Size S",85.75,23,101,ClassicCottonTee-S,Bleu,S,SKU-4-101-SB
5,Classic Cotton Tee,"Classic Cotton Tee in Bleu, Size M",30.5,57,101,ClassicCottonTee-M,Bleu,M,SKU-5-101-MB
6,Classic Cotton Tee,"Classic Cotton Tee in Bleu, Size L",12.75,199,101,ClassicCottonTee-L,Bleu,L,SKU-6-101-LB
7,Classic Cotton Tee,"Classic Cotton Tee in Black, Size S",66.75,12,101,ClassicCottonTee-S,Black,S,SKU-7-101-SB
8,Classic Cotton Tee,"Classic Cotton Tee in Black, Size M",19.99,51,101,ClassicCottonTee-M,Black,M,SKU-8-101-MB
9,Classic Cotton Tee,"Classic Cotton Tee in Black, Size L",99.5,30,101,ClassicCottonTee-L,Black,L,SKU-9-101-LB
10,Graphic Print T-Shirt,"Graphic Print T-Shirt in Red, Size S",90.0,18,101,GraphicPrintT-Shirt-S,Red,S,SKU-10-101-SR
11,Graphic Print T-Shirt,"Graphic Print T-Shirt in Red, Size M",11.75,97,101,GraphicPrintT-Shirt-M,Red,M,SKU-11-101-MR
12,Graphic Print T-Shirt,"Graphic Print T-Shirt in Red, Size L",63.5,13,101,GraphicPrintT-Shirt-L,Red,L,SKU-12-101-LR
13,Graphic Print T-Shirt,"Graphic Print T-Shirt in Bleu, Size S",30.75,63,101,GraphicPrintT-Shirt-S,Bleu,S,SKU-13-101-SB
14,Graphic Print T-Shirt,"Graphic Print T-Shirt in Bleu, Size M",61.5,34,101,GraphicPrintT-Shirt-M,Bleu,M,SKU-14-101-MB
15,Graphic Print T-Shirt,"Graphic Print T-Shirt in Bleu, Size L",96.5,6,101,GraphicPrintT-Shirt-L,Bleu,L,SKU-15-101-LB
16,Graphic Print T-Shirt,"Graphic Print T-Shirt in Black, Size S",70.75,16,101,GraphicPrintT-Shirt-S,Black,S,SKU-16-101-SB
17,Graphic Print T-Shirt,"Graphic Print T-Shirt in Black, Size M",45.99,114,101,GraphicPrintT-Shirt-M,Black,M,SKU-17-101-MB
18,Graphic Print T-Shirt,"Graphic Print T-Shirt in Black, Size L",59.99,33,101,GraphicPrintT-Shirt-L,Black,L,SKU-18-101-LB
19,V-Neck Slim Fit Top,"V-Neck Slim Fit Top in Red, Size S",54.0,6,101,V-NeckSlimFitTop-S,Red,S,SKU-19-101-SR
20,V-Neck Slim Fit Top,"V-Neck Slim Fit Top in Red, Size M",60.0,14,101,V-NeckSlimFitTop-M,Red,M,SKU-20-101-MR
21,V-Neck Slim Fit Top,"V-Neck Slim Fit Top in Red, Size L",25.75,200,101,V-NeckSlimFitTop-L,Red,L,SKU-21-101-LR
22,V-Neck Slim Fit Top,"V-Neck Slim Fit Top in Bleu, Size S",50.0,48,101,V-NeckSlimFitTop-S,Bleu,S,SKU-22-101-SB
23,V-Neck Slim Fit Top,"V-Neck Slim Fit Top in Bleu, Size M",73.0,31,101,V-NeckSlimFitTop-M,Bleu,M,SKU-23-101-MB
24,V-Neck Slim Fit Top,"V-Neck Slim Fit Top in Bleu, Size L",79.99,34,101,V-NeckSlimFitTop-L,Bleu,L,SKU-24-101-LB
25,V-Neck Slim Fit Top,"V-Neck Slim Fit Top in Black, Size S",63.5,22,101,V-NeckSlimFitTop-S,Black,S,SKU-25-101-SB
26,V-Neck Slim Fit Top,"V-Neck Slim Fit Top in Black, Size M",21.99,167,101,V-NeckSlimFitTop-M,Black,M,SKU-26-101-MB
